logical_reasoning,verbal_ability,quantitative_aptitude,technical_skills,personality_type,interest_area,academic_performance,preferred_work_environment,career_path
7,1,10,8,Extrovert,Finance,5.32,Fieldwork,Manager
4,8,6,9,Ambivert,Arts,5.89,Office,Software Engineer
8,4,7,6,Introvert,Finance,5.03,Fieldwork,Data Scientist
5,4,9,5,Ambivert,Finance,7.23,Office,Manager
7,5,1,6,Extrovert,Arts,5.42,Fieldwork,Financial Analyst
10,8,7,2,Extrovert,Finance,8.41,Remote,Artist
3,5,8,4,Ambivert,Programming,6.18,Remote,Manager
7,8,3,3,Extrovert,Finance,9.72,Office,Software Engineer
8,10,4,7,Ambivert,Arts,9.36,Office,Data Scientist
5,1,10,9,Extrovert,Science,6.45,Fieldwork,Artist
4,10,6,5,Introvert,Finance,8.92,Fieldwork,Manager
8,9,10,6,Introvert,Management,9.02,Remote,Data Scientist
8,6,7,10,Extrovert,Programming,9.93,Fieldwork,Data Scientist
3,3,4,2,Ambivert,Programming,7.99,Office,Data Scientist
6,8,8,3,Introvert,Management,5.41,Office,Software Engineer
5,9,5,3,Ambivert,Management,8.23,Office,Financial Analyst
2,6,1,9,Extrovert,Finance,8.12,Office,Data Scientist
8,7,4,7,Ambivert,Management,8.19,Office,Artist
6,1,3,8,Introvert,Science,6.54,Remote,Manager
2,5,9,10,Ambivert,Arts,9.3,Remote,Artist
5,5,8,9,Ambivert,Management,9.8,Office,Software Engineer
1,10,1,6,Extrovert,Management,6.09,Fieldwork,Software Engineer
10,4,6,4,Extrovert,Science,5.44,Office,Artist
6,6,9,1,Extrovert,Programming,5.97,Remote,Financial Analyst
9,7,7,8,Introvert,Programming,9.1,Office,Software Engineer
1,9,4,7,Introvert,Finance,8.38,Remote,Software Engineer
10,1,1,2,Extrovert,Science,8.18,Remote,Artist
3,6,2,8,Extrovert,Arts,7.01,Office,Software Engineer
7,7,5,5,Introvert,Arts,7.89,Office,Financial Analyst
4,3,5,7,Introvert,Science,6.54,Fieldwork,Financial Analyst
9,8,8,4,Introvert,Arts,7.39,Remote,Financial Analyst
3,5,6,5,Introvert,Programming,8.97,Fieldwork,Manager
5,9,8,8,Extrovert,Arts,9.91,Office,Financial Analyst
3,5,2,1,Introvert,Arts,9.66,Remote,Financial Analyst
7,9,3,1,Extrovert,Science,9.67,Fieldwork,Manager
5,10,6,4,Ambivert,Science,7.01,Fieldwork,Data Scientist
9,4,10,3,Ambivert,Arts,7.34,Fieldwork,Software Engineer
7,9,3,10,Introvert,Management,8.53,Office,Financial Analyst
2,5,6,2,Ambivert,Science,9.61,Office,Software Engineer
4,10,6,3,Ambivert,Finance,5.71,Office,Artist
9,9,2,1,Ambivert,Finance,6.52,Remote,Software Engineer
2,3,7,1,Introvert,Programming,5.7,Office,Manager
10,4,2,6,Introvert,Arts,8.06,Remote,Software Engineer
9,9,6,5,Ambivert,Management,6.53,Fieldwork,Software Engineer
10,10,1,8,Extrovert,Programming,6.63,Fieldwork,Software Engineer
5,6,3,2,Ambivert,Arts,5.35,Office,Data Scientist
2,2,2,4,Introvert,Science,6.75,Fieldwork,Data Scientist
4,7,7,8,Introvert,Finance,9.31,Office,Artist
7,2,4,6,Introvert,Management,6.17,Remote,Manager
8,2,8,1,Ambivert,Finance,8.48,Fieldwork,Software Engineer
3,1,6,4,Extrovert,Science,8.15,Office,Software Engineer
1,3,10,1,Introvert,Arts,9.32,Fieldwork,Software Engineer
4,6,4,2,Introvert,Science,5.66,Fieldwork,Software Engineer
2,8,5,5,Ambivert,Science,9.89,Office,Data Scientist
8,9,9,8,Extrovert,Finance,7.91,Fieldwork,Artist
4,7,7,8,Ambivert,Management,9.98,Fieldwork,Financial Analyst
2,4,10,3,Introvert,Science,9.56,Fieldwork,Manager
6,6,9,4,Extrovert,Finance,6.11,Fieldwork,Software Engineer
6,5,7,10,Extrovert,Management,5.28,Remote,Artist
10,8,1,6,Introvert,Arts,6.28,Fieldwork,Financial Analyst
4,1,8,10,Extrovert,Arts,7.64,Fieldwork,Artist
6,1,4,3,Extrovert,Programming,5.86,Office,Data Scientist
2,6,3,2,Ambivert,Finance,5.84,Remote,Financial Analyst
10,10,7,6,Introvert,Management,7.31,Office,Artist
2,2,3,5,Introvert,Science,5.17,Office,Data Scientist
10,5,8,10,Introvert,Arts,5.61,Office,Artist
4,1,6,5,Introvert,Management,7.08,Remote,Artist
8,7,5,10,Introvert,Finance,5.32,Office,Financial Analyst
7,1,4,5,Extrovert,Programming,6.98,Office,Data Scientist
9,4,8,10,Ambivert,Arts,7.37,Office,Software Engineer
8,9,8,5,Introvert,Management,7.26,Fieldwork,Manager
5,1,1,3,Ambivert,Management,9.35,Office,Financial Analyst
2,4,9,7,Ambivert,Management,7.65,Remote,Data Scientist
5,6,5,6,Extrovert,Finance,7.34,Remote,Artist
8,6,4,4,Introvert,Finance,7.05,Fieldwork,Data Scientist
10,8,6,2,Extrovert,Finance,9.09,Remote,Manager
9,1,6,9,Introvert,Science,9.48,Remote,Manager
9,7,2,1,Extrovert,Management,9.27,Fieldwork,Software Engineer
1,1,8,4,Ambivert,Arts,8.37,Office,Software Engineer
9,7,7,1,Introvert,Finance,5.69,Fieldwork,Manager
7,3,1,6,Ambivert,Finance,6.38,Office,Financial Analyst
9,8,5,4,Ambivert,Management,5.23,Office,Financial Analyst
8,3,6,5,Extrovert,Finance,9.65,Remote,Artist
1,1,4,5,Introvert,Science,8.3,Fieldwork,Software Engineer
8,8,2,9,Ambivert,Science,8.73,Remote,Artist
8,3,4,1,Extrovert,Finance,6.56,Remote,Software Engineer
3,2,1,2,Introvert,Management,9.23,Office,Manager
1,1,7,6,Introvert,Management,6.3,Remote,Financial Analyst
8,3,2,5,Ambivert,Management,5.01,Fieldwork,Financial Analyst
3,2,2,7,Introvert,Programming,6.88,Remote,Manager
3,2,9,3,Ambivert,Finance,7.85,Remote,Artist
1,6,5,3,Introvert,Management,7.39,Office,Artist
5,1,2,10,Extrovert,Science,9.31,Fieldwork,Data Scientist
10,2,9,2,Ambivert,Arts,5.53,Remote,Software Engineer
7,6,9,3,Ambivert,Arts,7.77,Office,Artist
10,3,1,10,Introvert,Management,7.56,Remote,Manager
9,4,3,1,Introvert,Arts,6.41,Fieldwork,Artist
7,1,4,5,Ambivert,Arts,9.11,Remote,Financial Analyst
9,8,7,5,Introvert,Programming,8.76,Remote,Software Engineer
8,7,10,7,Extrovert,Science,8.66,Office,Data Scientist
2,7,4,4,Introvert,Science,9.38,Remote,Software Engineer
1,3,2,3,Extrovert,Programming,8.61,Office,Financial Analyst
7,10,7,1,Extrovert,Programming,6.16,Fieldwork,Financial Analyst
7,10,6,8,Extrovert,Arts,8.53,Remote,Financial Analyst
8,3,3,3,Extrovert,Finance,6.54,Fieldwork,Financial Analyst
5,2,6,2,Extrovert,Arts,6.21,Fieldwork,Manager
3,1,6,4,Introvert,Programming,5.37,Remote,Data Scientist
8,7,5,3,Extrovert,Science,8.72,Office,Financial Analyst
6,7,4,1,Introvert,Arts,8.56,Fieldwork,Financial Analyst
